客家汉字,Hakka Pronunciation,Chinese definition,English Definition
養子唔知得娘辛苦，養女正曉得謝娘恩,"yong1 zu3 m di1 ngiong2 sin1 ku3, yong1 ng3 zang4 hiau3 det5 cia4 ngiong2 en1",只有女兒才知道母親的偉大。,A son doesn't know how hard his mother worked; only a daughter truly appreciates a mother's love.
羊有跪乳之恩，鴉有反哺之義,"yong2 yiu1 kui3 yui3 zu1 en1, a1 yiu1 fan3 pu3 zu1 ngi4", 連動物也懂孝道，何況是人？,A lamb kneels to nurse from its mother; a crow feeds its parents when old. Even animals know filial piety; how much more should humans.
週身生成驢子形，一時唔做發頭暈,"ziu1 sin1 sang1 sin2 li2 zai3 hin2, yit1 si2 m zo4 bot5 teu2 vin2",渾身長得像驢子，不幹活就會生病 【19】五字以上兩句，首句六個字 二維碼19,Built like a donkey all over; not working causes headaches. A hardworking person becomes ill if they stop working.
半壁挽筲箕，年年兩夫妻，半壁挽銅鑼，年年兩公婆,"ban4 biak5 van3 sau1 gi1, ngien2 ngien2 liong3 fu1 ci1, ban4 biak5 van3 tung2 lo2, ngien2 ngien2 liong3 gung1 po2",嘲笑沒有生孩子的夫妻。,A half-moon bamboo basket for just a couple year after year; a half-moon gong for just the two of them. A rhyme mocking childless couples.
刺瓜老，好洗鑊，瓠瓜老，好做勺,"ci4 ga1 lau3, hau3 se3 vok6, pu2 ga1 lau3, hau3 zo4 sok6",農村生活很簡單——絲瓜老了曬乾用來洗鍋，瓠瓜老了曬乾用來做勺子。,Old loofah is good for scrubbing woks; old bottle gourd is good for making ladles. Simple village life finds use for everything.
多子多連牽，冇子成神仙，神仙跌落地冇人牽,"do1 zu3 do1 lien1 kien1, mau2 zu3 sang2 sin2 sien1, sin2 sien1 diet5 lok6 ti4 mau2 ngin2 kien1",多孩子的家庭很多麻煩的事，沒有孩子的夫妻很自由，但年老就無依靠。,Many children bring many worries; no children is as free as an immortal; but an immortal who falls to earth has no one to help. Children are both a burden and a support.
寧賣祖宗田，莫賣祖宗言；寧賣祖宗坑，莫賣祖宗聲。,"len2 mai4 zu3 zung1 tien2, mok6 mai4 zu3 zung1 ngien2; len2 mai4 zu3 zung1 hang1, mok6 mai4 zu3 zung1 sang1",強調要保護母語，比祖宗的田產還重要。,Better to sell ancestral land than the ancestral language; better to sell ancestral plots than the ancestral sounds. Preserving the mother tongue is more important than material inheritance.
人心節節高，井水變成酒，又嫌豬冇糟,"ngin2 sim1 ziet5 ziet5 gau1, ziang3 sui3 bien4 sang2 ziu3, yiu4 hiam2 zu1 mau2 zau1",這裏牽涉呂洞賓把水變成酒的傳說。比喻貪念永無止境。,"Human greed keeps growing. Even after well water was turned to wine (a legend), people complained there was no lees for the pigs. Greed has no limit."
瓠打瓠，瓜打瓜，唔係像阿㜆就像阿爸$,"pu2 da3 pu2, ga1 da3 ga1, m he4 ciong4 a1 mi1 ciu4 ciong4 a1 ba1",孩子怎樣也像父母。類似北方話的“龍生龍鳳生鳳”。,"Gourd begets gourd; melon begets melon. Children always resemble either mother or father. Like the northern saying: 'dragons beget dragons, phoenixes beget phoenixes'."
衰唔知，末唔知，鼻公發蟲恅過蘿蔔絲,"soi1 m di1, mat5 m di1, pi4 gung1 bot5 cung2 lau1 go4 lo2 pet6 si1",恅過，以為。嘲笑人不知道自己的短處還到處張揚。,"Doesn't know their own misfortune, yet thinks their nose is fancier than shredded radish. Obliviously and arrogantly boasting while being completely unaware of one's own deficiencies."
讀書讀得少，袁字寫成表；讀書讀得多，料字寫成科。,"tuk6 su1 tuk6 det5 sau3, yen2 su4 sia3 sang2 biau3, tuk6 su1 tuk6 det5 do1, liau4 su4 sia3 sang2 ko1",嘲笑別人寫錯字。,Too little education: writes 袁 as 表; too much book-learning: writes 料 as 科. Mocking those who make character errors at either extreme.
禾鷝仔，啜嘩嘩，有啜話別人，冇啜話自家,"vo2 bit5 zai3, zoi4 va1 va1, yiu1 zoi4 va4 piet6 ngin2, mau2 zoi4 va4 ci2 ga1",罵人只會說別人，自己犯同樣毛病卻不說。,The little noisy bird has plenty to say about others but nothing about itself. Mocking those who gossip about others but ignore their own faults.
黃頭蛇，七姐妹，緊打緊多來,"vong2 teu2 sa2, cit5 zi3 moi4, gin3 da3 gin3 do1 loi2",黃頭蛇是南方田野間一種常見的無毒蛇。據說打死一條以後，同類會來增援，所以勸大家不要打。,"The yellow-headed snake comes in groups of seven. If you kill one, more will come as reinforcement. Don't stir up unnecessary trouble."
黃腫大食懶，食飽就愛癱，食飽唔癱，黃腫曉番,"vong2 zung3 tai4 sit6 lan1, sit6 bau3 ciu4 oi4 tan1, sit6 bau3 m tan1, vong2 zung3 hiau3 fan1",罵人的話。黃腫是肝炎。罵人吃飽就睡，否則肝炎會復發。,"A curse: only eating and sleeping causes hepatitis. If you don't rest after eating, the jaundice will come back. A mock health warning."
醫藥先生死婦娘，算命先生半路亡，地理先生冇屋床,"yi1 yok6 sin1 sang1 si3 bu1 ngiong2, son4 miang4 sin1 sang1 ban4 lu4 mong2, ti4 li1 sin1 sang1 mau2 vuk5 cong2",醫生會死老婆，算命的自己卻不知道自己死期，看風水的沒有房子（屋床是建房的地）。諷刺他們敵不過天意。,The doctor's wife dies; the fortune-teller dies mid-journey; the geomancer has no house. None of them can apply their skills to save themselves from fate.
一代親，二代表，三代閑了了,"yit5 toi4 cin1, ngi4 toi4 biau3, sam1 toi4 han2 liau3 liau3",第一代是姐妹，孩子是表親，第三代就沒親情了。,First generation: sisters. Second generation: cousins. Third generation: strangers. Kinship fades with each passing generation.
豬䂻大，狗䂻壞，人就䂻到礙礙曬曬,"zu1 cang4 tai4, geu3 cang4 fai4, ngin2 ciu4 cang4 dau3 ngai4 ngai4 sai4 sai4",豬拼命吃會長胖，狗拼命吃會生病，人拼命吃會很不舒服。 【20】三句或以上 二維碼20,Pigs overeat and grow fat; dogs overeat and fall sick; humans overeat and become a nuisance to everyone. (Variant of 豬䂻大狗䂻壞人就䂻倒礙礙曬曬.)
